,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030,SS
0,GDP ($Y_t$),-0.7471099860944739,-0.7079239459923375,-0.686990187605319,-0.6484705715692065,-0.5999338277197797,-0.8457158810432596,-0.8147197463133748,-0.7902378102725097,-0.7800197973731764,-0.7711666159413169,-0.7363763177420799,-0.6914066172756896
1,Consumption ($C_t$),-1.0617170956587252,-1.1097491699223825,-1.1443515595116451,-1.2006130847277772,-1.2386702239569654,-1.265435712735358,-1.3011990698446059,-1.3320317031422735,-1.3491296402833217,-1.3621813681923574,-1.2359780936583746,-1.4698920317706419
2,Capital Stock ($K_t$),-0.7471145011392998,-0.7079280086556292,-0.6869932708590698,-0.6484738390401484,-0.5999374911434032,-0.8457222739260438,-0.8147266135760414,-0.79024511743741,-0.7800275786723813,-0.7711748881879112,-0.7363817281834083,-0.6914062727546492
3,Labor ($L_t$),-0.7471145011392905,-0.7079280086556251,-0.6869932708590726,-0.6484738390401485,-0.5999374911434087,-0.84572227392605,-0.8147266135760441,-0.7902451174374094,-0.7800275786723806,-0.7711748881879049,-0.7363817281834206,-0.6914062727546599
4,Real interest rate ($r_t$),1.7347234759768055e-14,1.7347234759768055e-14,-1.7347234759768055e-14,3.469446951953611e-14,0.0,0.0,0.0,-3.46944695195361e-14,0.0,1.7347234759768055e-14,1.3877787807814444e-14,0.0
5,Wage rate,0.0,-1.6669078568913414e-14,1.6669078568913417e-14,-1.6669078568913414e-14,0.0,0.0,0.0,1.6669078568913417e-14,0.0,0.0,0.0,0.0
