age,y_aftertax_base,ubi,n_base,n_reform,c_base,c_reform,lifetime_income_group,lifetime_income_pop_share,age_pop_share,pop_share,y_diff,n_diff,c_diff,elasticity,elasticity_display,y_diff_pct,n_diff_pct,c_diff_pct,ubi_print,pop_share_w,c_base_w,n_base_w,c_reform_w,n_reform_w,y_aftertax_base_w,ubi_w,age_pop_share_ws,c_base_ws,n_base_ws,c_reform_ws,n_reform_ws,y_aftertax_base_ws,ubi_ws,lifetime_income_pop_share_wj,c_base_wj,n_base_wj,c_reform_wj,n_reform_wj,y_aftertax_base_wj,ubi_wj
21,32754.317672466164,2061.0398317954773,0.3425403873173418,0.3329056891994864,0.1806752338608656,0.18747974590112074,0-25%,0.25,0.015799165175553142,0.0039497912938882855,0.06292421818721085,-0.02812718871871167,0.03766156486890271,-0.4470010042083993,-0.45,6.29,-2.81,3.77,2061.0,0.0039497912938882855,0.0007136294657248769,0.001352963039631158,0.0007405058681406347,0.0013149079928860107,129.37271877995806,8.140677183982753,0.015799165175553142,0.0028545178628995075,0.005411852158524632,0.002962023472562539,0.005259631971544043,517.4908751198323,32.56270873593101,0.25,0.0451688084652164,0.08563509682933546,0.046869936475280184,0.0832264222998716,8188.579418116541,515.2599579488693
21,23951.994641267258,2129.3263832626853,0.3098351472379468,0.29856694504686654,0.15744364222540858,0.165090675800927,25-50%,0.25,0.015799165175553142,0.0039497912938882855,0.08889975198950806,-0.03636837941573656,0.048569973785097975,-0.4090942730642123,-0.41,8.89,-3.64,4.86,2129.0,0.0039497912938882855,0.0006218695273399809,0.0012237841671010373,0.000652073713980635,0.0011792771201889357,94.60537990533628,8.410394810457586,0.015799165175553142,0.0024874781093599235,0.004895136668404149,0.00260829485592254,0.004717108480755743,378.4215196213451,33.64157924183034,0.25,0.039360910556352144,0.0774587868094867,0.04127266895023175,0.07464173626171663,5987.9986603168145,532.3315958156713
21,24084.292988467587,2131.707475766724,0.2930896821969665,0.2820681511460113,0.17654265697604027,0.18537543016719443,50-70%,0.2,0.015799165175553142,0.0031598330351106287,0.08851027832901141,-0.03760463680720205,0.05003194889240237,-0.42486180720636385,-0.42,8.85,-3.76,5.0,2132.0,0.0031598330351106287,0.0005578453196190959,0.0009261144600560503,0.0005857554081401444,0.0008912882621437445,76.10234461224317,6.735839703119985,0.015799165175553142,0.0027892265980954795,0.004630572300280251,0.0029287770407007215,0.004456441310718722,380.51172306121583,33.67919851559992,0.2,0.03530853139520806,0.05861793643939331,0.03707508603343889,0.05641363022920226,4816.858597693517,426.34149515334485
21,26192.22511851818,2152.1465640721867,0.28734227734226825,0.27698102594013385,0.20168119062275408,0.21132397992348045,70-80%,0.1,0.015799165175553142,0.0015799165175553144,0.08216738189801966,-0.03605891725356025,0.04781204073097367,-0.4388470999150737,-0.44,8.22,-3.61,4.78,2152.0,0.0015799165175553144,0.00031863944434511117,0.00045397681016500976,0.0003338742464366344,0.0004376068979322345,41.38152909627408,3.4002119047775645,0.015799165175553142,0.0031863944434511113,0.004539768101650097,0.0033387424643663436,0.004376068979322344,413.81529096274073,34.00211904777564,0.1,0.02016811906227541,0.028734227734226826,0.021132397992348048,0.027698102594013386,2619.222511851818,215.21465640721868
21,29949.487738828488,2123.014162655125,0.28599780681827414,0.27631349745438827,0.2347169685547502,0.2452250930945498,80-90%,0.1,0.015799165175553142,0.0015799165175553144,0.07088649332398128,-0.03386148121771915,0.044769343283966645,-0.4776859402955348,-0.48,7.09,-3.39,4.48,2123.0,0.0015799165175553144,0.00037083321557016116,0.00045185265897678523,0.00038743517509911885,0.0004365522586516663,47.31769037089549,3.3541851425826965,0.015799165175553142,0.003708332155701611,0.004518526589767852,0.0038743517509911883,0.004365522586516663,473.17690370895485,33.54185142582696,0.1,0.02347169685547502,0.028599780681827416,0.02452250930945498,0.027631349745438828,2994.948773882849,212.3014162655125
21,42557.63018537117,1680.9232873126089,0.2907849631366748,0.28374834598360804,0.3184579216061943,0.32854975774848616,90-99%,0.09,0.015799165175553142,0.0014219248657997828,0.039497577284987366,-0.02419869678666775,0.03168970045207864,-0.6126628125078809,-0.61,3.95,-2.42,3.17,1681.0,0.0014219248657997828,0.0004528232374427656,0.00041347436968471106,0.0004671730701950673,0.0004034688287836522,60.51375259009068,2.390146619731711,0.015799165175553142,0.005031369304919617,0.004594159663163457,0.005190811891056303,0.004482986986485024,672.3750287787853,26.55718466368568,0.09,0.028661212944557486,0.02617064668230073,0.029569478197363754,0.025537351138524723,3830.1867166834054,151.2830958581348
21,89186.94906014163,-1214.6426073158736,0.28112949252041775,0.27954477754000207,0.6272268014917419,0.6317498353748461,Top 1%,0.01,0.015799165175553142,0.00015799165175553142,-0.013619062207148728,-0.005636957425591338,0.007211161691986101,0.4139020249597263,0.41,-1.36,-0.56,0.72,-1215.0,0.00015799165175553142,9.909659839301912e-05,4.4416112880495115e-05,9.981119998715699e-05,4.4165741143177505e-05,14.090793397048218,-0.1919033918224802,0.015799165175553142,0.009909659839301912,0.004441611288049511,0.009981119998715699,0.004416574114317751,1409.0793397048217,-19.19033918224802,0.01,0.006272268014917419,0.0028112949252041774,0.006317498353748461,0.0027954477754000206,891.8694906014164,-12.146426073158736
22,32236.717489603296,2399.858627499992,0.33184164902416946,0.32146376517988023,0.2040854762974708,0.21262605306576585,0-25%,0.25,0.015876030418114154,0.003969007604528538,0.07444488193545058,-0.031273602559555025,0.04184803800465664,-0.4200906999445796,-0.42,7.44,-3.13,4.18,2400.0,0.003969007604528538,0.0008100168073984904,0.0013170820284762188,0.0008439144215389132,0.001275892128579321,127.94777686127361,9.52505714234089,0.015876030418114154,0.0032400672295939616,0.005268328113904875,0.003375657686155653,0.005103568514317284,511.79110744509444,38.10022856936356,0.25,0.0510213690743677,0.08296041225604237,0.05315651326644146,0.08036594129497006,8059.179372400824,599.964656874998
22,24789.42993981572,2254.675723296532,0.3025220282204188,0.2912598003390079,0.1840520564084831,0.19319031940008236,25-50%,0.25,0.015876030418114154,0.003969007604528538,0.09095310899728147,-0.03722779444412949,0.04965042591709978,-0.40930755259000773,-0.41,9.1,-3.72,4.97,2255.0,0.003969007604528538,0.0007305040115143849,0.0012007122305442393,0.0007667738468202241,0.001156012362438986,98.38943594305601,8.948825091509818,0.015876030418114154,0.0029220160460575397,0.004802848922176957,0.0030670953872808963,0.004624049449755944,393.55774377222406,35.79530036603927,0.25,0.046013014102120775,0.0756305070551047,0.04829757985002059,0.07281495008475197,6197.35748495393,563.668930824133
22,25591.015319785463,2281.643686442268,0.2883709778348916,0.2775031604242913,0.20937844452010507,0.21986371423851014,50-70%,0.2,0.015876030418114154,0.0031752060836228307,0.0891579977554949,-0.03768693192427541,0.05007807629117367,-0.42269827579155933,-0.42,8.92,-3.77,5.01,2282.0,0.0031752060836228307,0.0006648197108197229,0.0009156372831616122,0.000698112603018029,0.0008811297232037721,81.25674752946786,7.244688913851112,0.015876030418114154,0.003324098554098615,0.004578186415808061,0.003490563015090145,0.004405648616018861,406.2837376473393,36.22344456925556,0.2,0.04187568890402102,0.057674195566978316,0.04397274284770203,0.05550063208485826,5118.203063957093,456.3287372884536
