age,y_aftertax_base,ubi,n_base,n_reform,lifetime_income_group,lifetime_income_pop_share,age_pop_share,pop_share,y_diff,n_diff,elasticity,elasticity_display,y_diff_pct,n_diff_pct,ubi_print,pop_share_w,ubi_w,y_aftertax_base_w,n_base_w,n_reform_w,age_pop_share_ws,ubi_ws,y_aftertax_base_ws,n_base_ws,n_reform_ws,lifetime_income_pop_share_wj,ubi_wj,y_aftertax_base_wj,n_base_wj,n_reform_wj
21,32754.317672466164,2061.0398317954773,0.3425403873173418,0.3329056891994864,0-25%,0.25,0.015799165175553142,0.0039497912938882855,0.06292421818721085,-0.02812718871871167,-0.4470010042083993,-0.45,6.29,-2.81,2061.0,0.0039497912938882855,8.140677183982753,129.37271877995806,0.001352963039631158,0.0013149079928860107,0.015799165175553142,32.56270873593101,517.4908751198323,0.005411852158524632,0.005259631971544043,0.25,515.2599579488693,8188.579418116541,0.08563509682933546,0.0832264222998716
21,23951.994641267258,2129.3263832626853,0.3098351472379468,0.29856694504686654,25-50%,0.25,0.015799165175553142,0.0039497912938882855,0.08889975198950806,-0.03636837941573656,-0.4090942730642123,-0.41,8.89,-3.64,2129.0,0.0039497912938882855,8.410394810457586,94.60537990533628,0.0012237841671010373,0.0011792771201889357,0.015799165175553142,33.64157924183034,378.4215196213451,0.004895136668404149,0.004717108480755743,0.25,532.3315958156713,5987.9986603168145,0.0774587868094867,0.07464173626171663
21,24084.292988467587,2131.707475766724,0.2930896821969665,0.2820681511460113,50-70%,0.2,0.015799165175553142,0.0031598330351106287,0.08851027832901141,-0.03760463680720205,-0.42486180720636385,-0.42,8.85,-3.76,2132.0,0.0031598330351106287,6.735839703119985,76.10234461224317,0.0009261144600560503,0.0008912882621437445,0.015799165175553142,33.67919851559992,380.51172306121583,0.004630572300280251,0.004456441310718722,0.2,426.34149515334485,4816.858597693517,0.05861793643939331,0.05641363022920226
21,26192.22511851818,2152.1465640721867,0.28734227734226825,0.27698102594013385,70-80%,0.1,0.015799165175553142,0.0015799165175553144,0.08216738189801966,-0.03605891725356025,-0.4388470999150737,-0.44,8.22,-3.61,2152.0,0.0015799165175553144,3.4002119047775645,41.38152909627408,0.00045397681016500976,0.0004376068979322345,0.015799165175553142,34.00211904777564,413.81529096274073,0.004539768101650097,0.004376068979322344,0.1,215.21465640721868,2619.222511851818,0.028734227734226826,0.027698102594013386
21,29949.487738828488,2123.014162655125,0.28599780681827414,0.27631349745438827,80-90%,0.1,0.015799165175553142,0.0015799165175553144,0.07088649332398128,-0.03386148121771915,-0.4776859402955348,-0.48,7.09,-3.39,2123.0,0.0015799165175553144,3.3541851425826965,47.31769037089549,0.00045185265897678523,0.0004365522586516663,0.015799165175553142,33.54185142582696,473.17690370895485,0.004518526589767852,0.004365522586516663,0.1,212.3014162655125,2994.948773882849,0.028599780681827416,0.027631349745438828
21,42557.63018537117,1680.9232873126089,0.2907849631366748,0.28374834598360804,90-99%,0.09,0.015799165175553142,0.0014219248657997828,0.039497577284987366,-0.02419869678666775,-0.6126628125078809,-0.61,3.95,-2.42,1681.0,0.0014219248657997828,2.390146619731711,60.51375259009068,0.00041347436968471106,0.0004034688287836522,0.015799165175553142,26.55718466368568,672.3750287787853,0.004594159663163457,0.004482986986485024,0.09,151.2830958581348,3830.1867166834054,0.02617064668230073,0.025537351138524723
21,89186.94906014163,-1214.6426073158736,0.28112949252041775,0.27954477754000207,Top 1%,0.01,0.015799165175553142,0.00015799165175553142,-0.013619062207148728,-0.005636957425591338,0.4139020249597263,0.41,-1.36,-0.56,-1215.0,0.00015799165175553142,-0.1919033918224802,14.090793397048218,4.4416112880495115e-05,4.4165741143177505e-05,0.015799165175553142,-19.19033918224802,1409.0793397048217,0.004441611288049511,0.004416574114317751,0.01,-12.146426073158736,891.8694906014164,0.0028112949252041774,0.0027954477754000206
22,32236.717489603296,2399.858627499992,0.33184164902416946,0.32146376517988023,0-25%,0.25,0.015876030418114154,0.003969007604528538,0.07444488193545058,-0.031273602559555025,-0.4200906999445796,-0.42,7.44,-3.13,2400.0,0.003969007604528538,9.52505714234089,127.94777686127361,0.0013170820284762188,0.001275892128579321,0.015876030418114154,38.10022856936356,511.79110744509444,0.005268328113904875,0.005103568514317284,0.25,599.964656874998,8059.179372400824,0.08296041225604237,0.08036594129497006
22,24789.42993981572,2254.675723296532,0.3025220282204188,0.2912598003390079,25-50%,0.25,0.015876030418114154,0.003969007604528538,0.09095310899728147,-0.03722779444412949,-0.40930755259000773,-0.41,9.1,-3.72,2255.0,0.003969007604528538,8.948825091509818,98.38943594305601,0.0012007122305442393,0.001156012362438986,0.015876030418114154,35.79530036603927,393.55774377222406,0.004802848922176957,0.004624049449755944,0.25,563.668930824133,6197.35748495393,0.0756305070551047,0.07281495008475197
22,25591.015319785463,2281.643686442268,0.2883709778348916,0.2775031604242913,50-70%,0.2,0.015876030418114154,0.0031752060836228307,0.0891579977554949,-0.03768693192427541,-0.42269827579155933,-0.42,8.92,-3.77,2282.0,0.0031752060836228307,7.244688913851112,81.25674752946786,0.0009156372831616122,0.0008811297232037721,0.015876030418114154,36.22344456925556,406.2837376473393,0.004578186415808061,0.004405648616018861,0.2,456.3287372884536,5118.203063957093,0.057674195566978316,0.05550063208485826
