ubi,y_aftertax_base,n_base,n_reform,pop_share,y_diff,n_diff,elasticity,elasticity_display,y_diff_pct,n_diff_pct,ubi_print
0.10069708212019059,1.3535470459484626,0.004866581618495247,1.4629611408573274e-05,4.822535143122023e-05,0.07439496279172901,-0.9969938629297875,-13.401362478275614,-13.4,7.44,-99.7,0.0
0.1133583925638175,1.4014968641132735,0.004780277486779235,1.4396723078876487e-05,4.869573964288636e-05,0.08088380036122257,-0.9969883080807143,-12.326180318286477,-12.33,8.09,-99.7,0.0
0.10731589385829843,1.5490641959192826,0.00528859513342814,1.5998376840381086e-05,4.921544033084186e-05,0.06927788670153368,-0.996974928797393,-14.39095469370491,-14.39,6.93,-99.7,0.0
0.13275664689483405,1.5720959726018275,0.0050656324948846546,1.5369280121238113e-05,4.976765709157201e-05,0.08444563767638248,-0.9969659701652739,-11.806009139109177,-11.81,8.44,-99.7,0.0
0.12029872406331597,1.673713745008814,0.005254787770491946,1.600587020243397e-05,5.0325798938037496e-05,0.07187532779847157,-0.9969540406003998,-13.870601653403522,-13.87,7.19,-99.7,0.0
0.1376429111567945,1.766391850921436,0.005379668483823505,1.644198958813694e-05,5.087276229574687e-05,0.07792320321506989,-0.9969436797755146,-12.79392579670944,-12.79,7.79,-99.69,0.0
0.14733608788009744,1.8463553925386387,0.00545776863284773,1.6744977597718544e-05,5.137446939108198e-05,0.07979833594090371,-0.9969319004296118,-12.493141475630646,-12.49,7.98,-99.69,0.0
0.16409880852884604,1.9437176395166882,0.00554380770746876,1.7057256378111516e-05,5.1823442984195795e-05,0.0844252298752867,-0.9969231875854692,-11.808356211266801,-11.81,8.44,-99.69,0.0
0.1785893953389181,2.03466159815863,0.005611880514274221,1.7304334410307238e-05,5.221854570118774e-05,0.08777351255881646,-0.9969164820301694,-11.357828266951742,-11.36,8.78,-99.69,0.0
0.1845448530382788,2.0993737858885417,0.005559999114520604,1.7179695185846534e-05,5.25493070341949e-05,0.08790471438613863,-0.9969101262730456,-11.340803883326704,-11.34,8.79,-99.69,0.0
0.19206334641703154,2.19917627929816,0.005631968864274421,1.7435973130670082e-05,5.2814438479273e-05,0.08733422064661692,-0.9969041069738023,-11.414816547199813,-11.41,8.73,-99.69,0.0
0.20106137160319726,2.2762467587631874,0.005649278096195269,1.7521900990832056e-05,5.303001703494598e-05,0.08833021763969262,-0.9968983822901845,-11.28604014490973,-11.29,8.83,-99.69,0.0
0.2151520597368649,2.3747122240866725,0.005690137946478275,1.7679788878115e-05,5.3204765512526735e-05,0.09060131899544736,-0.9968929068074602,-11.00307277929975,-11.0,9.06,-99.69,0.0
0.2058443207296712,2.4750789882928137,0.005724797160718309,1.7823631995388564e-05,5.334502931812548e-05,0.08316676829439386,-0.9968865915254276,-11.986597675608206,-11.99,8.32,-99.69,0.0
0.1975647894355317,2.56672560402068,0.00576753208541072,1.7982284605260306e-05,5.34479581943685e-05,0.07697152711846324,-0.9968821526540359,-12.95131056864419,-12.95,7.7,-99.69,0.0
0.20305157728242035,2.659871392371194,0.0058192888381419314,1.8169708117064763e-05,5.351413413848124e-05,0.07633887031711187,-0.9968776754991137,-13.058585637409633,-13.06,7.63,-99.69,0.0
0.2523258460043763,2.7524830850947337,0.0058444630466741015,1.8269051308931697e-05,5.353549086015577e-05,0.09167207870259877,-0.9968741266455046,-10.874348446701521,-10.87,9.17,-99.69,0.0
0.2095326228256514,2.8432214124380457,0.005881223029675098,1.8411285457927655e-05,5.3521462883228266e-05,0.07369549972753561,-0.9968694801463863,-13.526870485063224,-13.53,7.37,-99.69,0.0
0.2081316182989827,2.9969005344486614,0.0060918040720319986,1.909573985666112e-05,5.3470378178169195e-05,0.06944895765026535,-0.996865339129285,-14.353928019328253,-14.35,6.94,-99.69,0.0
0.18918727168790397,3.0802575796533365,0.006130859544926031,1.923416714955362e-05,5.338425004137147e-05,0.061419302378340646,-0.9968627291151251,-16.230446952563664,-16.23,6.14,-99.69,0.0
0.1972572126351396,3.0754401395856314,0.005898940039773339,1.8506857194382067e-05,5.3264180013509894e-05,0.06413950643881398,-0.9968626809105364,-15.542100902530263,-15.54,6.41,-99.69,0.0
0.1927296319041765,3.153866267234434,0.005935612534846236,1.8619027602168956e-05,5.311389999284884e-05,0.06110900576427341,-0.9968631666078501,-16.3128683594236,-16.31,6.11,-99.69,0.0
0.18319370706805815,3.2373215795631287,0.005996370107563566,1.8807822219928893e-05,5.29374823769111e-05,0.05658804742307369,-0.9968634654161515,-17.61614883021537,-17.62,5.66,-99.69,0.0
0.16926376797178957,3.3248311616800192,0.006054640258025713,1.8984349712672534e-05,5.2739831333479566e-05,0.05090898146126058,-0.9968644958406062,-19.581308979814786,-19.58,5.09,-99.69,0.0
0.16953916651680578,3.4106900231834425,0.006115900950819145,1.9165106918788846e-05,5.2522644600754165e-05,0.04970817206031602,-0.9968663477265403,-20.054375496184814,-20.05,4.97,-99.69,0.0
0.16096532390067614,3.483248020949016,0.006126154154559614,1.9171141651245536e-05,5.226066011188765e-05,0.04621127262043801,-0.9968706073716775,-21.572022384226404,-21.57,4.62,-99.69,0.0
0.16192451930764348,3.549966529332962,0.006144889298550668,1.9198280858504796e-05,5.19661263007863e-05,0.045612970705408054,-0.9968757320228645,-21.85509333433244,-21.86,4.56,-99.69,0.0
0.1409549616503595,3.599948052771354,0.006152196654657184,1.9184410014477395e-05,5.164722503495453e-05,0.03915472100822342,-0.9968816975315711,-25.46006386617344,-25.46,3.92,-99.69,0.0
